Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_20_77,VGND,li1,41.6300,65.2800,0.000032
FILLER_20_55,VGND,li1,31.5100,65.2800,0.000021
FILLER_20_52,VGND,li1,30.1300,65.2800,0.000021
FILLER_20_49,VGND,li1,28.7500,65.2800,0.000018
FILLER_20_41,VGND,li1,24.8400,65.2800,0.000016
FILLER_20_19,VGND,li1,14.4900,65.2800,0.000018
FILLER_20_16,VGND,li1,13.5700,65.2800,0.000018
FILLER_19_181,VGND,li1,89.0100,65.2800,0.000060
FILLER_19_137,VGND,li1,68.7700,65.2800,0.000053
FILLER_19_113,VGND,li1,57.7300,65.2800,0.000045
FILLER_19_96,VGND,li1,50.3700,65.2800,0.000040
FILLER_19_93,VGND,li1,48.9900,65.2800,0.000038
FILLER_19_78,VGND,li1,41.8600,65.2800,0.000032
FILLER_19_70,VGND,li1,37.9500,65.2800,0.000029
FILLER_19_67,VGND,li1,37.0300,65.2800,0.000027
FILLER_19_64,VGND,li1,35.6500,65.2800,0.000027
FILLER_19_43,VGND,li1,25.9900,65.2800,0.000015
FILLER_19_40,VGND,li1,24.6100,65.2800,0.000016
FILLER_19_11,VGND,li1,11.0400,65.2800,0.000018
FILLER_18_180,VGND,li1,88.7800,59.8400,0.000049
FILLER_18_157,VGND,li1,77.9700,59.8400,0.000047
FILLER_18_134,VGND,li1,67.3900,59.8400,0.000044
FILLER_18_131,VGND,li1,66.4700,59.8400,0.000043
FILLER_18_128,VGND,li1,65.0900,59.8400,0.000043
FILLER_18_118,VGND,li1,60.4900,59.8400,0.000041
FILLER_18_115,VGND,li1,59.1100,59.8400,0.000040
FILLER_18_98,VGND,li1,51.2900,59.8400,0.000036
FILLER_18_88,VGND,li1,46.4600,59.8400,0.000032
FILLER_18_85,VGND,li1,45.3100,59.8400,0.000032
FILLER_18_83,VGND,li1,43.9300,59.8400,0.000030
FILLER_18_80,VGND,li1,43.0100,59.8400,0.000030
FILLER_18_70,VGND,li1,38.1800,59.8400,0.000026
FILLER_18_67,VGND,li1,37.0300,59.8400,0.000026
FILLER_18_43,VGND,li1,25.5300,59.8400,0.000014
FILLER_18_40,VGND,li1,24.6100,59.8400,0.000014
FILLER_18_32,VGND,li1,20.4700,59.8400,0.000016
FILLER_18_29,VGND,li1,19.5500,59.8400,0.000016
FILLER_18_26,VGND,li1,17.9400,59.8400,0.000017
FILLER_17_181,VGND,li1,89.0100,59.8400,0.000049
FILLER_17_178,VGND,li1,88.0900,59.8400,0.000049
FILLER_17_138,VGND,li1,69.2300,59.8400,0.000045
FILLER_17_135,VGND,li1,68.3100,59.8400,0.000044
FILLER_17_113,VGND,li1,58.1900,59.8400,0.000040
FILLER_17_109,VGND,li1,56.3500,59.8400,0.000039
FILLER_17_100,VGND,li1,51.9800,59.8400,0.000036
FILLER_17_97,VGND,li1,50.8300,59.8400,0.000036
FILLER_17_81,VGND,li1,43.2400,59.8400,0.000030
FILLER_17_60,VGND,li1,33.8100,59.8400,0.000022
FILLER_17_57,VGND,li1,32.4300,59.8400,0.000022
FILLER_17_53,VGND,li1,30.5900,59.8400,0.000020
FILLER_17_44,VGND,li1,26.4500,59.8400,0.000016
FILLER_17_20,VGND,li1,14.9500,59.8400,0.000017
FILLER_17_17,VGND,li1,14.0300,59.8400,0.000018
